,Title,Artist
1,The Box,Roddy Ricch
2,Life Is Good,Future Featuring Drake
3,Circles,Post Malone
4,Memories,Maroon 5
5,Dance Monkey,Tones And I
6,Don't Start Now,Dua Lipa
7,Roxanne,Arizona Zervas
8,Someone You Loved,Lewis Capaldi
9,"10,000 Hours",Dan + Shay & Justin Bieber
10,everything i wanted,Billie Eilish
11,Intentions,Justin Bieber Featuring Quavo
12,Blinding Lights,The Weeknd
13,Lose You To Love Me,Selena Gomez
14,Ballin',Mustard & Roddy Ricch
15,BOP,DaBaby
16,Hot Girl Bummer,blackbear
17,Heartless,The Weeknd
18,The Bones,Maren Morris
19,Yummy,Justin Bieber
20,Good As Hell,Lizzo
21,High Fashion,Roddy Ricch Featuring Mustard
22,Adore You,Harry Styles
23,Yikes,Nicki Minaj
24,Woah,Lil Baby
25,Falling,Trevor Daniel
26,My Oh My,Camila Cabello Featuring DaBaby
27,No Guidance,Chris Brown Featuring Drake
28,Godzilla,Eminem Featuring Juice WRLD
29,Bad Guy,Billie Eilish
30,HIGHEST IN THE ROOM,Travis Scott
31,You should be sad,Halsey
32,What A Man Gotta Do,Jonas Brothers
33,Senorita,Shawn Mendes & Camila Cabello
34,Kinfolks,Sam Hunt
35,Trampoline,SHAED
36,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin
37,Sucker,Jonas Brothers
38,One Man Band,Old Dominion
39,Only Human,Jonas Brothers
40,I Don't Care,Ed Sheeran & Justin Bieber
41,Truth Hurts,Lizzo
42,Tusa,Karol G & Nicki Minaj
43,Juicy,Doja Cat & Tyga
44,Suicidal,YNW Melly
45,Homesick,Kane Brown
46,Hot,Young Thug Featuring Gunna
47,Even Though I'm Leaving,Luke Combs
48,I Hope,Gabby Barrett
49,Sum 2 Prove,Lil Baby
50,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B
51,Bandit,Juice WRLD & YoungBoy Never Broke Again
52,Heartache Medication,Jon Pardi
53,Make Me Want To,Jimmie Allen
54,BEST ON EARTH,Russ & BIA
55,Heart On Ice,Rod Wave
56,Slide,H.E.R. Featuring YG
57,Know Your Worth,Khalid x Disclosure
58,Say So,Doja Cat
59,OUT WEST,JACKBOYS Featuring Young Thug
60,Nobody But You,Blake Shelton Duet With Gwen Stefani
61,I Do It,Lil Wayne Featuring Big Sean & Lil Baby
62,Blueberry Faygo,Lil Mosey
63,TOES,DaBaby Featuring Lil Baby & Moneybagg Yo
64,What She Wants Tonight,Luke Bryan
65,VIBEZ,DaBaby
66,I Wish Grandpas Never Died,Riley Green
67,More Hearts Than Mine,Ingrid Andress
68,Run,Joji
69,We Back,Jason Aldean
70,P*$$y Fairy (OTW),Jhene Aiko
71,Before You Go,Lewis Capaldi
72,B.I.T.C.H.,Megan Thee Stallion
73,Rodeo,Lil Nas X & Cardi B Or Nas
74,Homemade,Jake Owen
75,Slow Dance In A Parking Lot,Jordan Davis
76,I Hope You're Happy Now,Carly Pearce & Lee Brice
77,Ridin' Roads,Dustin Lynch
78,Make No Sense,YoungBoy Never Broke Again
79,Loyal,PARTYNEXTDOOR Featuring Drake
80,Chasin' You,Morgan Wallen
81,SUGAR,BrockHampton
82,KEII,Anuel AA
83,Futsal Shuffle 2020,Lil Uzi Vert
84,Dive Bar,Garth Brooks & Blake Shelton
85,homecoming queen?,Kelsea Ballerini
86,Rare,Selena Gomez
87,No Idea,Don Toliver
88,Come Thru,Summer Walker & Usher
89,Believe,Meek Mill Featuring Justin Timberlake
90,Vete,Bad Bunny
91,Catch,Brett Young
92,Into The Unknown,Idina Menzel & AURORA
93,Start Wit Me,Roddy Ricch & Gunna
94,Easy,DaniLeigh Featuring Chris Brown
95,WHATS POPPIN,Jack Harlow
96,No Judgement,Niall Horan
97,Jerry Sprunger,Tory Lanez & T-Pain
98,King Of My City,A Boogie Wit da Hoodie
99,ORANGE SODA,Baby Keem
100,Only The Young,Taylor Swift
101,Anyone,Demi Lovato
102,Physical,Dua Lipa
103,Mahogany,Lil Wayne
104,Letter To Nipsey,Meek Mill Featuring Roddy Ricch
105,Good News,Mac Miller
106,Mama Mia,Lil Wayne
107,Funeral,Lil Wayne
108,Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj
109,Get Me,Justin Bieber Featuring Kehlani
110,U Played,MoneyBagg Yo Featuring Lil Baby
111,Camelot,NLE Choppa
112,Panini,Lil Nas X
113,Graveyard,Halsey
114,Blue World,Mac Miller
115,Those Kinda Nights,Eminem Featuring Ed Sheeran
116,Darkness,Eminem
117,Underdog,Alicia Keys
118,First Man,Camila Cabello
119,What If I Told You That I Love You,Ali Gatie
120,Unaccommodating,Eminem Featuring Young M.A
121,July,Noah Cyrus Featuring Leon Bridges
122,You Gon' Learn,"Eminem Featuring Royce da 5'9"" & White Gold"
123,Black Swan,BTS
124,Leaving Heaven,Eminem Featuring Skylar Grey
125,Complicated,Mac Miller
126,Hand Me Downs,Mac Miller
127,Premonition (Intro),Eminem
128,I Can See,Mac Miller
129,In Too Deep,Eminem
130,Woods,Mac Miller
131,Everybody,Mac Miller
132,Marsh,Eminem
133,No Regrets,Eminem Featuring Don Toliver
134,Lock It Up,Eminem Featuring Anderson .Paak
135,Surf,Mac Miller
136,Stepdad,Eminem
137,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott
138,That's On Me,Mac Miller
139,On Chill,Wale Featuring Jeremih
140,Talk,Khalid
141,What If I Never Get Over You,Lady Antebellum
142,Lover,Taylor Swift
143,Playing Games,Summer Walker
144,Heat,Chris Brown Featuring Gunna
145,Remember You Young,Thomas Rhett
146,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie
147,Eleven,Khalid
148,All Dat,Moneybagg Yo X Megan Thee Stallion
149,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock"
150,Conversations In The Dark,John Legend
151,Protect da Brand,Moneybagg Yo Featuring DaBaby
152,Look At Her Now.,Selena Gomez
153,Watermelon Sugar,Harry Styles
154,Peta,Roddy Ricch Featuring Meek Mill
155,223's,YNW Melly & 9lokknine
156,All I Want,Olivia Rodrigo
157,Beautiful People,Ed Sheeran Featuring Khalid
158,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
159,Suge,DaBaby
160,GANG GANG,JACKBOYS & Sheck Wes
161,HAD ENOUGH,Don Toliver Featuring Quavo & Offset
162,Enemies,Post Malone Featuring DaBaby
163,20/20,Lil Tjay
164,WHAT TO DO?,JACKBOYS Featuring Don Toliver
165,Ran$om,Lil Tecca
166,Baby,Lil Baby & DaBaby
167,GATTI,"JACKBOYS, Pop Smoke & Travis Scott"
168,Slow Dancing In The Dark,Joji
169,Death,Trippie Redd Featuring DaBaby
170,Yellow Hearts,Ant Saunders
171,Let Me Know (I Wonder Why Freestyle),Juice WRLD
172,Loco Contigo,"DJ Snake, J. Balvin & Tyga"
173,Candy,Doja Cat
174,China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin"
175,All I Want For Christmas Is You,Mariah Carey
176,Rockin' Around The Christmas Tree,Brenda Lee
177,Jingle Bell Rock,Bobby Helms
178,A Holly Jolly Christmas,Burl Ives
179,It's The Most Wonderful Time Of The Year,Andy Williams
180,Last Christmas,Wham!
181,Feliz Navidad,Jose Feliciano
182,"Let It Snow, Let It Snow, Let It Snow",Dean Martin
183,The Christmas Song (Merry Christmas To You),Nat King Cole
184,Sleigh Ride,The Ronettes
185,Rudolph The Red-Nosed Reindeer,Gene Autry
